# ePrasekolah "Carian Institusi" export, Kota Setar, pasted by the user (logged-in parent account) on 2026-09-21.
# columns: code|name|address|postcode|town|phone|vacancies   (all rows: Agensi Pelaksana = SWASTA; "-" vacancies = none listed)
K5A2651|TADIKA AULAD PINTAR|NO.25, JALAN MALINJA 2, TAMAN MALINJA, LANGGAR|06500|ALOR SETAR|0195947402|-
K5D2798|TADIKA AWIT CERIA|SJK(T)BARATHY, KOMPLEKS PENDIDIKAN, JALAN STADIUM, ALOR SETAR|05100|ALOR SETAR|0125559908|-
K5A2142|TADIKA AZ ZAHARAH|1169 JALAN TANJUNG BENDAHARA, KEDAH|05300|ALOR SETAR|019-3258812|6
K5A2725|TADIKA BACALAH ANAKKU|NO A132 TAMAN BAHTERA, JALAN BAHTERA 9, KUALA KEDAH|06600|ALOR SETAR|019-4155561|29
K5B2028|TADIKA BAIDURI BESTARI|1929-E TAMAN DARUL AMAN, JALAN STADIUM|05100|ALOR SETAR|019-4515335|59
K5A2752|TADIKA BESTARI FIRDAUS|NO.606, LORONG KEBAYA 5, TAMAN MERGONG JAYA 1, JALAN PUTRA, ALOR SETAR.|06250|ALOR SETAR|017-4377847|25
K5A2021|TADIKA BESTARI UMMI SOFIAH [010]|NO.1, TAMAN ZAPIN, JLN KUALA SUNGAI|06250|ALOR SETAR|0195424959|12
K5A2023|TADIKA BIDADARI CERIA|F-21 TAMAN KANTAN FASA 2, JALAN KILANG TEBU, ALOR SETAR|05050|ALOR SETAR|012-4079584|-
K5C2118|TADIKA BINTANG KECIL KUALA KEDAH|598,TAMAN BERSATU,KUALA KEDAH, KEDAH DARUL AMAN.|06600|KUALA KEDAH|0124648512|-
K5A2709|TADIKA BISTARI AL UMAIRA (ABIM)|NO. 1926 E, TAMAN MAHKOTA, JALAN STADIUM|05100|ALOR SETAR|013-4106776|19
K5B2016|TADIKA BODHI|LOT 2832,BATU 7 , JALAN TOKAI, SIMPANG EMPAT|06650|ALOR SETAR|0124315777|-
K5B2879|TADIKA BRAINY BUNCH|283 TAMAN MALAYSIA|05250|ALOR SETAR|0192681183|-
K5B2119|TADIKA BRIGHT BUDS KIDS|NO. 13, TINGKAT 1, KOMPLEKS PERNIAGAAN SULTAN ABDUL HAMID PERSIARAN 3, 05050 ALOR SETAR, KEDAH|05050|ALOR SETAR|0195540262|51
K5C2961|TADIKA BUDI BAIK|NO. 26A, TKT 1, JALAN SENA, TAMAN BANDAR BARU, 06400 POKOK SENA|06400|ALOR SETAR|0124096198|-
K5B2034|TADIKA CAHAYA AL HIJRAH [008]|A118 JALAN BAHTERA 5, TAMAN BAHTERA, KUALA KEDAH|06600|ALOR SETAR|019-4639019|27
K5A2103|TADIKA CAHAYA BINTANG GEMILANG|135 JALAN PINANG EMAS 4TAMAN PINANG EMAS|06200|ALOR SETAR|0124702754|25
K5A2113|TADIKA CAHAYA KHALIF|NO. B27, JALAN DESA KIARA 19/1, TAMAN DESA KIARA|05400|ALOR SETAR|011-36533346|-
K5A2934|TADIKA CAHAYAKU CEMERLANG BESTARI|NO. 135, JALAN PINANG EMAS 4, TAMAN PINANG EMAS,BUKIT PINANG|06200|KEPALA BATAS|0132424340|-
K5B2033|TADIKA CAHAYAKU FURQAN|A-103,JALAN SEMARAK 5,TAMAN BANDAR BARU,FASA 3,06400 POKOK SENA.KEDAH.|06400|ALOR SETAR|0195046414|-
K5A2819|TADIKA CELIK KREATIF|NO. 78, TAMAN CHENGAL FASA 3, JALAN DATUK KUMBAR|05300|ALOR SETAR|0195000517|155
K5A2100|TADIKA CEMERLANG NUR RAHMAH|NO. 2965-C, LORONG UDA 2, JALAN FAJAR,LEBUHRAYA SULTANAH BAHIYAH|05350|ALOR SETAR|0124743016|70
K5B2941|TADIKA CERDAS ELIT|NO. 1110, JALAN KOTA DAMAI 6, TAMAN SERI KOTA FASA 5, JALAN KUALA KEDAH|06600|ALOR SETAR|0164111138|-
K5B2005|TADIKA CERIA BISTARI|NO.11, TAMAN DELIMA, JALAN GANGSA|05150|ALOR SETAR|0193896869|-
K5B2104|TADIKA CERIA BISTARI (C) PADI EMAS|NO. 1 TAMAN PADI EMASJALAN ALOR MENGKUDU|05400|ALOR SETAR|0193896869|30
K5A2019|TADIKA CERIA MATAHARI|NO. 4, TAMAN SRI BANDAR 3A, JLN LENCONG BARAT|05050|ALOR SETAR|012-4293013|40
K5B2843|TADIKA CERIA RIANG HARMONI|NO.D66, TAMAN SETIA, JALAN KILANG TEBU,ALOR SETAR, KEDAH.|05050|ALOR SETAR|0134856228|-
K5A2106|TADIKA CILIK AL FATEH AIN NUR ILHAM|SURAU NUR ZAHARAH AL MAKMURJ JALAN GUNUNG PERAK,TAMAN GUNUNG BAYU|05400|ALOR SETAR|0134768607|12
K5A2810|TADIKA CINTA SAYANG GEMILANG|NO.1, JALAN NABIRA 1, TAMAN NABIRA, HUTAN KAMPUNG, ALOR SETAR, KEDAH.|05350|ALOR SETAR|019-4475230|1
K5A2724|TADIKA DARUL IRSYAD|NO. 446, TAMAN BERJAYA, LEBUHRAYA SULTANAH BAHIYAH|05050|ALOR SETAR|012-5104774|-
K5A2129|TADIKA DARUL NUHA|NO. 10, TAMAN DAHLIA FASA 4, JALAN LENCONG BARAT, 05400 ALOR SETAR, KEDAH|05400|ALOR SETAR|013-4561362|56
K5B2678|TADIKA DEDIKASI PELITA|NO.12, TAMAN DESA IMPIANA, JALAN LENCONG BARAT|05300|ALOR SETAR|017-5818189|-
K5B2019|TADIKA DERGA JAYA|691, TAMAN DERGA JAYA, JALAN DATUK KUMBAR|05300|ALOR SETAR|0124668250|-
K5A2119|TADIKA DHIA QHALIFAH GENIUS|NO. B15, TAMAN AMAN FASA 4 JALAN ANAK BUKIT|05150|ALOR SETAR|0164709930|39
K5B2107|TADIKA DUSUN ILMU (C)|NO 2820-S, JALAN TUNKU BENDAHARA|05250|ALOR SETAR|019-7700956|-
K5B2880|TADIKA ELIT BITARA|3, TAMAN SRI MENTALOON, JALAN ALOR MERAH|05250|ALOR SETAR|0134727111|-
K5B2109|TADIKA ELIT BITARA (CAWANGAN)|NO.7A, FIRST FLOOR JALAN VISTANA INDAH 1 TAMAN VISTANA INDAH JALAN LANGGAR|06500|ALOR SETAR|01135337112|2
K5B2013|TADIKA ELITE|2766 & 2767 TAMAN LUMBA KUDA|05250|ALOR SETAR|012-5868461|-
K5B2825|TADIKA EMBUN KASIH|NO.55, TAMAN BUNGA SENA, POKOK SENA, KEDAH|06400|ALOR SETAR|010-8108218|33
K5A2115|TADIKA FITRAH AJWAD|NO. A-29, TAMAN KEMUDI FASA 4, TELUK KECHAI, JALAN KUALA KEDAH|06600|ALOR SETAR|011-20954681|-
K5B2117|TADIKA FUTURE KHALIFAH|NO. 8A & 8B PLAZA MENTALOON SUSURAN MENTALOON|05250|ALOR SETAR|0194155688|55
K5A2107|TADIKA GAYA KREATIF ALAF BARU|NO 9A, LORONG 1, TAMAN SENA|06400|POKOK SENA|0175957960|35
K5A2007|TADIKA GEMILANG CERIA|NO.3031, TAMAN BERSATU FASA1, JALAN KUALA KEDAH|06600|ALOR SETAR|010-9822013|-
K5A2943|TADIKA HABIB ELIT|NO 8 TINGKAT ATAS SUSURAN BAWAL JALAN SULTANAH SAMBUNGAN|05350|ALOR SETAR|0195128377|20
K5A2951|TADIKA HABIB ELIT (C)|NO. 191, TAMAN SIMPANG JAYA, SIMPANG EMPAT|06650|ALOR SETAR|0174511183|-
K5A2105|TADIKA HABIB ELIT ILHAM|LOT 9, TINGKAT BAWAH, DATARAN USAHAWAN KOTA SARANG SEMUT|06800|KOTA SARANG SEMUT|0174511183|-
K5B2100|TADIKA HARAPAN DUNIA [005]|NO. 69, TAMAN GUNUNG INDAH, FASA II, JALAN KUALA KEDAH|06600|ALOR SETAR|0162870719|102
K5C2754|TADIKA HARMONI SEMESTA|301, TAMAN SAGA , JALAN ALOR MENGKUDU|05400|ALOR SETAR|012-466 8250|-
K5B2897|TADIKA HOLISTIK GENIUS|NO 16, TAMAN RIA II, LORONG INAI, JALAN KOTA TANAH|05050|ALOR SETAR|01110697596|-
K5C2842|TADIKA IDEA CERIA|NO.46, TAMAN RAFFLESIA, FASA II, ALOR SETARKEDAH.|05050|ALOR SETAR|0174833795|44
K5A2816|TADIKA ILAL NUR|NO.2178, TAMAN RAKYAT, JALAN SULTANAH, ALOR SETAR|05350|ALOR SETAR|017-6164097|-
K5C2962|TADIKA ILMU KEHIDUPAN|NO.1011, KOMPLEKS PERNIAGAAN GANGSA FASA 2, JALAN GANGSA|05150|ALOR SETAR|016-7769113|2
K5B2035|TADIKA IMPIAN CERIA|F5 LORONG KANTAN 14, TAMAN KANTAN|05050|ALOR SETAR|0179276818|-
K5A2104|TADIKA INDAH PERMATA|1433 TAMAN SULTAN BADLISHAH PERSIARAN SULTAN ABDUL HAMID, JALAN PEGAWAI|05050|ALOR SETAR|0124715007|30
K5A2139|TADIKA INSAN PINTAR|NO. A-11F, SSN BANDAR BARU MERGONG, TAMAN BANDAR BARU MERGONG|05150|ALOR SETAR|0172468303|24
K5B2868|TADIKA INTEGRASI PELANGI|B/16 FASA 2, TAMAN PELANGI, JALAN KUALA KEDAH|05500|ALOR SETAR|0124263326|-
K5A2127|TADIKA INTELEK AD DHUHA|NO. 1, TINGKAT ATAS, SUSURAN BAWAL, KOMPLEKS PERNIAGAAN BAWAL, JALAN SULTANAH SAMBUNGAN|05350|ALOR SETAR|017-4800877|89
K5A2122|TADIKA INTELEK PERMATA|NO. B/16 FASA 2, TAMAN PELANGI, BATU 2 1/2, JALAN KUALA KEDAH, 05400 ALOR SETAR, KEDAH|05400|ALOR SETAR|0169032087|-
K5C2828|TADIKA INTELEK SPAN|454, TAMAN DESA SERAYA, JALAN DESA SERAYA 12, 05050 ALOR SETAR, KEDAH.|05050|ALOR SETAR|0125959797|-
K5B2101|TADIKA INTELEK SUCI (ALOR SETAR) (CIC)|NO. 2000, JALAN SULTANAH|05350|ALOR SETAR|04-7311035|-
K5B2102|TADIKA INTENSIF MINDA|NO 465, TAMAN TUNKU YAAKOB|05400|ALOR SETAR|+60194953512|64
K5B2111|TADIKA INTENSIF MINDA|43, TINGKAT 1, TAMAN GANDING, 05300 ALOR SETAR, KEDAH|05300|ALOR SETAR|0194953512|33
K5B2116|TADIKA INTENSIF MINDA ( C )|48A, FIRST FLOOR, TAMAN GANDING, ALOR SETAR, KEDAH|05300|ALOR SETAR|0184010126|48
K5B2103|TADIKA INTENSIF MINDA (C)|4162 TINGKAT 1, TAMAN GANDING, JALAN LANGGAR|05300|ALOR SETAR|0194953512|-
K5A2926|TADIKA INTERVENSI AWAL KEDAH PREAMBLE|ARAS 1,KUARTERS DOKTOR BLOK A, HOSPITAL SULTANAH BAHIYAH,KM6 JALAN LANGGAR,05460 ALOR SETAR, KEDAH|05460|ALOR SETAR|0124885468|23
K5A2001|TADIKA JALAN LANGGAR|1539-B BATU 1 3/4, JALAN LANGGAR|05460|ALOR SETAR|012-5327161|-
K5B2025|TADIKA JUARA GEMILANG|DEWAN PERSATUAN PENDUDUK -PENDUDUK KAUM CINA, TAMAN WIRA, MERGONG|05150|ALOR SETAR|012-4622664|31
K5B2738|TADIKA JUNIOR JAYA GEMILANG [037]|NO.59, TAMAN SETAR, LORONG INAI, ALOR SETAR|05400|ALOR SETAR|016-4424812|18
K5B2031|TADIKA JUNIOR JUARA|NO.356 JALAN ANGGERIK, TAMAN ANGGERIK FASA 6|05250|ALOR SETAR|0174201131|250
K5B2905|TADIKA JUNIOR JUARA ( C )|NO.69 & 75, TAMAN MEGA FASA 2, JALAN KILANG TEBU|05400|ALOR SETAR|0174201131|-
K5B2112|TADIKA KHALIFAH ADDEEN|NO. 209, TINGKAT 1, JALAN ANGSANA 9, TAMAN ANGSANA|06400|POKOK SENA|0164614470|-
K5A2121|TADIKA KHALIFAH DURRANI|LOT 2756A, JALAN DATUK KUMBAR BATU 2 1/2|05300|ALOR SETAR|01137213731|26
K5B2877|TADIKA KHALIFAH HARAPAN (LC)|NO 157, KOMPLEKS SULTAN ABDUL HAMID FASA 2, PERSIARAN SULTAN ABDUL HAMID, JALAN PEGAWAI|05050|ALOR SETAR|0192696500|-
K5A2908|TADIKA KHALIFAH HARAPAN PLT CAWANGAN JALAN LANGGAR|NO.22-A, TAMAN VISTANA INDAH, JALAN LANGGAR|06500|ALOR SETAR|0137886500|-
K5B2110|TADIKA KHALIFAH HARAPAN PLT CAWANGAN KUALA KEDAH|NO.1, TINGKAT 1, KOMPLEKS MHJ UTAMA JALAN BATAS PAIP|06600|KUALA KEDAH|019-3224500|-
K5A2108|TADIKA KHALIFAH HARAPAN PLT CAWANGAN MERGONG|NO.122 JALAN SARI,TAMAN BANDAR BARU MERGONG,05250 ALOR SETAR|05250|ALOR SETAR|0132676500|-
K5B2106|TADIKA KHALIFAH HARAPAN PLT CAWANGAN TITI GAJAH|TINGKAT 1, TAMAN MAS INDAH, SUSURAN MAS MERAH, TITI GAJAH, ALOR SETAR|06550|ALOR SETAR|013-4527500|-
K5A2114|TADIKA KREATIF CILIK GENIUS|NO. A30, JALAN RUSA 2, TAMAN RUSA FASA 4, MUKIM ANAK BUKIT|06550|ALOR SETAR|017-5397175|-
K5B2023|TADIKA KUBANG ROTAN|125 TAMAN SERI MAKMUR|06250|ALOR SETAR|012-4078302|-
K5B2114|TADIKA LE STAR|A-23, TAMAN SAMUDERA, JALAN KILANG TEBU|05050|ALOR SETAR|016-3260819|87
K5A2873|TADIKA LESTARI KHAYRU UMMAH|NO.56, TAMAN SATRIA, BATU 4 1/2, JALAN LANGGAR|06500|ALOR SETAR|0124673267|50
K5B2007|TADIKA LITTLE ANGELS|61 C TAMAN LAM SUN, JALAN TELOK WANJAH|05200|ALOR SETAR|012-5559932|46
K5B2950|TADIKA LITTLE TWINKLES (C)|NO. 2184, TAMAN RAKYAT, JALAN SULTANAH|05350|ALOR SETAR|0103807201|87
K5A2646|TADIKA MAJU HIMMAH|NO.34-B KG. SUNGAI DURIAN,06400 POKOK SENA,KEDAH.|06400|ALOR SETAR|019-5732244|-
K5B2001|TADIKA MARIAN ST MICHAEL|125 JALAN LANGGAR 05460 ALOR SETAR KEDAH.|05460|ALOR SETAR|0125638559|93
K5C2011|TADIKA MATAHARI PERMAI|NO. 261, JALAN TEJA 7, TAMAN BANDAR BARU|06400|POKOK SENA|0108293134|113
K5A2706|TADIKA MAWARNI (ABIM)|NO.28,KG. GANDING, JALAN ALOR MENGKUDU|05400|ALOR SETAR|017-5257576|11
K5B2002|TADIKA METHODIST ALOR STAR|36-A LEBUHRAYA DARUL AMAN|05100|ALOR SETAR|019-3931937|-
K5B2008|TADIKA MEWAH|LOT 736 NO5, JALAN PANCUR, KAMPUNG BARU|06400|POKOK SENA|012-5785163|11
K5B2808|TADIKA MONTESSORI ANAKKU|N0.630, JALAN DESA SERAYA 24, TAMAN DESA SERAYA, ALOR SETAR|05400|ALOR SETAR|0124892270|37
K5A2016|TADIKA MONTESSORI SINARAN|NO. 73 TAMAN SINARAN, JALAN KUALA KEDAH|06600|ALOR SETAR|012-4420886|-
K5A2102|TADIKA MUMTAZ AULAD (ABIM)|NO 43, TAMAN ARIF JAYA, JALAN DATUK KUMBAR|05300|ALOR SETAR|01139123608|-
K5A2131|TADIKA MUMTAZ VISTANA|NO. 2, TINGKAT ATAS, TAMAN VISTANA INDAH|05460|ALOR SETAR|013-4684764|63
K5C2904|TADIKA MUTIARA INDAH HATI|NO.273, LORONG TERATAI MERAH 2, TAMAN BERJAYA|05050|ALOR SETAR|0125376085|35
K5B2022|TADIKA MY KINDY|95, TAMAN PURNAMA, OFF JALAN PEGAWAI|05050|ALOR SETAR|0125431719|-
K5A2920|TADIKA NUR EHSAN UKHWAH|NO 46, BELAKANG MASJID PUTRA, KUALA KEDAH|06600|ALOR SETAR|0124005609|-
K5A2881|TADIKA NUR IHSAN BISTARI|413,JALAN BUDIMAN 14 TAMAN BUDIMAN 05400 ALOR SETAR KEDAH.|05400|ALOR SETAR|017-4512489|10
K5A2116|TADIKA NUR MILLENIA|70, TAMAN DESARENA, FASA 2, JALAN KUALA KEDAH|06600|KUALA KEDAH|017-3583160|40
K5A2800|TADIKA NUR SINAR BISTARI|NO.25 JALAN AROMA 1, TAMAN AROMA|06250|ALOR SETAR|0175986377|44
K5A2857|TADIKA NURKASIHKU|NO.112, TAMAN LELASARI 2, JALAN LANGGAR, ALOR SETAR,KEDAH|05460|ALOR SETAR|0135283616|63
K5B2020|TADIKA PEI YEE|728 TAMAN DERGA JAYA, JALAN DATUK KUMBAR|05300|ALOR SETAR|012-4650926|-
K5B2026|TADIKA PELANGI IMPIAN|118 PEKAN SIMPANG EMPAT|06650|ALOR SETAR|012-5584508|-
K5A2135|TADIKA PERMATA BAKTI|NO. 209, TMN SERI MARINA FASA 1, JLN KUALA KEDAH, KUALA KEDAH, KEDAH|06600|ALOR SETAR|01164466277|47
K5A2112|TADIKA PERMATA INTELEK ALBAGHDADI|NO. 11 (ATAS), SUSURAN DESA ILMU, TAMAN DESA ILMU|06400|POKOK SENA|0162693618|-
K5A2995|TADIKA PEWARIS SUFFI|NO, 5012 - TINGKAT BAWAH RUMAH KEDAI , TAMAN PKNK, JALAN TUN RAZAK, 05200 , ALOR SETAR , KEDAH|05200|ALOR SETAR|0195649817|-
K5A2751|TADIKA PRA TAHFIZ DARUL HIDAYAH|KOMPLEKS DARUL HIDAYAH, JLN SUNGAI MATI, MUKIM LEPAI, ALOR SETAR.|06500|ALOR SETAR|0145100244|-
K5A2128|TADIKA QHALIFAH FURQAN PINTAR|LOT 91 B, TINGKAT BAWAH, KOMPLEKS PERUDA, JALAN SULTAN BADLISHAH|05000|ALOR SETAR|013-4464028|40
K5A2996|TADIKA RAUDHATUL HIKMAH|NO125 TINGKAT BAWAH, KOMPLEKS SULTAN ABDUL HAMID, JALAN PEGAWAI|05050|ALOR SETAR|0134482874|3
K5B2884|TADIKA RAUDHOH BARAAINUL EIMAN|NO 98, JALAN KELANA 2/2, TAMAN KELANA, JALAN LANGGAR|05100|ALOR SETAR|01135570976|-
K5A2134|TADIKA RAUDHOH BARAAINUL EIMAN (C)|NO.27, TKT 1 KOMPLEKS PERNIAGAAN UTAMA LEBUHRAYA SULTANAH BAHIYAH|05350|ALOR SETAR|01135570976|47
K5B2901|TADIKA RUTIN GENIUS|NO. 8, JALAN LITC 1, PUSAT PERNIAGAAN LITC, JALAN PUTRA|05150|ALOR SETAR|0193030822|25
K5B2041|TADIKA SAN PEI|886,TAMAN RAKYAT MERGONG FASA 5|05150|ALOR SETAR|013-4687787|-
K5B2118|TADIKA SEHARUMKASIHKU|NO. 27 JALAN AISHAH 1, TAMAN AISHAH, JALAN LANGGAR, 06500 ALOR SETAR, KEDAH|06500|ALOR SETAR|0122174049|32
K5C6973|TADIKA SEJAHTERA ANAKKU|NO:19, TAMAN BANDAR SEJAHTERA FASA 1, 06400 POKOK SENA, KEDAH|06400|POKOK SENA|0194447317|24
K5B2011|TADIKA SIDDHATHA|LOT 2819, JALAN GANGSA|05150|ALOR SETAR|01170137899|82
K5B2018|TADIKA SIN MIW|NO. 594, TAMAN PELANGI FASA 2, JALAN KUALA KEDAH|06600|ALOR SETAR|012-4099476|-
K5C2875|TADIKA SIN WAH|NO.5 , TAMAN TUNKU BENDAHARA, ANAK BUKIT|06550|ALOR SETAR|0125442128|1
K5A2671|TADIKA SINAR CERIA (C)|NO. 157, TAMAN DESA IMPIANA FASA 2|05150|ALOR SETAR|012-4891237|-
K5C2929|TADIKA SINAR CERIA (C)|NO. 474, TAMAN SAGA, ALOR MENGKUDU|05400|ALOR SETAR|0124891237|-
K5B2036|TADIKA SINAR CERIA (C) ALOR MENGKUDU|643 TAMAN SAGA FASA 2, JALAN ALOR MENGKUDU|05400|ALOR SETAR|012-4891237|-
K5B2040|TADIKA SINAR CERIA (C)TELOK KECHAI|33 TAMAN SEPAKAT, KAMPUNG BEREMBANG PANJANG, 06600 KUALA KEDAH|06600|ALOR SETAR|012-4891237|-
K5B2039|TADIKA SINAR CERIA BEE BEE PARK|8A BEE BEE PARK, SIMPANG KUALA|05400|ALOR SETAR|012-4891237|-
K5B2029|TADIKA SINAR CERIA(C)KUALA KEDAH|5, TAMAN SRI KOTA, JLN KUALA KEDAH|06600|ALOR SETAR|0124891237|-
K5A2710|TADIKA SINAR QASEH (ABIM)|NO. 57, TAMAN UTAMA, JALAN GANGSA|05350|ALOR SETAR|017-4712831|15
K5B2108|TADIKA SRI DINASTI|NO. 3A, JALAN LIMBONG KAPAL, 05000 ALOR SETAR, KEDAH|05000|ALOR SETAR|011-58691314|32
K5B2113|TADIKA SRI DINASTI|NO. 3A, JALAN LIMBONG KAPAL, 05000 ALOR SETAR, KEDAH|05000|ALOR SETAR|012-5350350|100
K5B2115|TADIKA SUNKIDS|74 D, TAMAN LAM SUN, JALAN TELUK WANJAH|05200|ALOR SETAR|017-4028066|43
K5B2006|TADIKA SUPERKIDS|1582 LORONG TIONG,OFF JALAN TELUK WANJAH|05200|ALOR SETAR|047319189|-
K5B2037|TADIKA SURIA OASIS|77 FASA 3,JLN DESA SERAYA9/2,TAMAN DESA SERAYA|06350|ALOR SETAR|04-7725316|-
K5A2118|TADIKA TAHFIZ AL HIDAYAH ILMIYYAH AD DINIAH (C)|NO.43A, JALAN KUDA 2 TAMAN LAMAN KUDA ANAK BUKIT|06550|ALOR SETAR|013-5801652|57
K5A2140|TADIKA TAHFIZ AL TAWFIQ|NO.265 LORONG 8 TAMAN DAMAI|06400|POKOK SENA|011-15586180|30
K5A2111|TADIKA TAHFIZ ALHIDAYAH ILMIYYAH AD DINIAH|NO. 67, JALAN HAJI WAN YAHAYA, TAMAN SERI MENTALOON INDAH|05250|ALOR SETAR|0125491170|-
K5A2101|TADIKA TAQWA BUSTANI (ABIM)|BATU 2 1/4, SURAU AL HASANAT, TAMAN SHAHAB, JALAN LANGGAR|05300|ALOR SETAR|0174985308|-
